Name,#Images,#Recognised images,Percent of recognising
Thalia,1,1,100.0
Joseph_Kabila,1,1,100.0
Jon_Kitna,1,1,100.0
Vince_Dooley,1,1,100.0
William_Jackson,1,1,100.0
Meghann_Shaughnessy,2,1,50.0
Nebojsa_Pavkovic,2,2,100.0
Mark_Foley,1,1,100.0
Nizar_Trabelsi,1,1,100.0
Bob_Ferguson,1,1,100.0
Billy_Beane,1,1,100.0
Enrica_Fico,1,1,100.0
Casey_Mears,1,1,100.0
David_Eldon,1,1,100.0
Nicola_Bono,1,1,100.0
Lee_Yuan-tseh,1,1,100.0
Muwafak_al-Ani,1,1,100.0
Jade_Jagger,1,1,100.0
Kweisi_Mfume,1,1,100.0
Tracee_Treadwell,1,1,100.0
Tommy_Haas,6,6,100.0
Tim_Lobinger,1,1,100.0
Bruce_Paltrow,1,1,100.0
Russell_Coutts,2,2,100.0
Scott_OGrady,1,1,100.0
Ali_Hammoud,1,1,100.0
Halbert_Fillinger,1,1,100.0
Georgina_Papin,1,1,100.0
Marian_Dolan,1,1,100.0
Bulent_Ecevit,6,6,100.0
Denzel_Washington,5,5,100.0
Michael_Broad,1,1,100.0
Caroline_Dhavernas,1,1,100.0
Olene_Walker,1,1,100.0
Michelle_Kwan,8,7,87.5
Brooke_Gordon,1,1,100.0
Larry_Donald,1,1,100.0
Mitchell_Daniels,4,4,100.0
Carlos_Barragan,1,1,100.0
Julien_Boutter,1,1,100.0
Jimmy_Kimmel,2,2,100.0
Matt_Herden,1,1,100.0
Halle_Berry,16,16,100.0
Juanes,3,3,100.0
Mohammed_Al-Douri,15,15,100.0
Thomas_Ulrich,1,1,100.0
Jeremy_Greenstock,24,24,100.0
Camille_Colvin,1,1,100.0
Kim_Jin-sun,2,2,100.0
Tim_Curry,2,2,100.0
Markus_Beyer,1,1,100.0
Leandrinho_Barbosa,1,1,100.0
Alejandro_Lopez,1,1,100.0
Maureen_Kanka,1,1,100.0
Nona_Gaye,1,1,100.0
Timothy_Coughlin,1,1,100.0
Vladimir_Golovlyov,1,1,100.0
Fernando_Velardez,1,1,100.0
Joseph_LePore,1,1,100.0
Mitchell_Garabedian,1,1,100.0
Narayan_Singh_Pun,1,1,100.0
Aldo_Paredes,2,2,100.0
Theo_Angelopoulos,1,1,100.0
Dereck_Whittenburg,1,1,100.0
Roy_Moore,6,6,100.0
King_Bhumibol_Adulyadej,1,1,100.0
Brian_Grazier,1,1,100.0
Jeremy_Gompertz,1,1,100.0
Fiona_Milne,1,1,100.0
Kim_Yong-il,3,3,100.0
Chang_Sang,1,1,100.0
Phillip_Fulmer,1,1,100.0
William_Macy,5,5,100.0
Mark_Lazarus,1,1,100.0
Martin_ONeill,1,1,100.0
Byron_Scott,2,2,100.0
Maria_Luisa_Mendonca,2,2,100.0
Laurel_Clark,1,1,100.0
Tommy_Robredo,3,3,100.0
Georgina_Bardach,1,1,100.0
Natalie_Juniardi,1,1,100.0
Michael_Ballack,3,3,100.0
Debbie_Reynolds,4,4,100.0
Mike_Thibault,1,1,100.0
Gerald_Riley,1,1,100.0
Dick_Armey,1,1,100.0
Gary_Paer,1,1,100.0
Luis_Ernesto_Derbez_Bautista,6,6,100.0
Hannah_Stockbauer,2,2,100.0
Paul_Desmarais,1,1,100.0
Carlos_Fasciolo,1,1,100.0
William_Swor,1,1,100.0
Dick_Devine,1,1,100.0
Tomoko_Hagiwara,2,2,100.0
Ernie_Harwell,1,1,100.0
Mona_Locke,1,1,100.0
Diego_Diego_Lerman,1,1,100.0
Kieran_Prendergast,2,2,100.0
Mike_Maroth,1,1,100.0
Tian_Zhuang_Zhuang,1,1,100.0
Carolina_Moraes,2,2,100.0
Ira_Einhorn,1,1,100.0
Natalie_Coughlin,6,6,100.0
Charles_Tannok,1,1,100.0
Andy_Graves,1,1,100.0
Brook_Robinson,1,1,100.0
Bryan_Murray,1,1,100.0
Jimmy_Gobble,1,1,100.0
Boris_Becker,6,6,100.0
Michele_Placido,1,1,100.0
Michael_Jordan,4,2,50.0
Paul_Tracy,1,1,100.0
