Name,Images of Name,True Positives,Percent TP,False Negatives,Percent FN,False positives,Total faces,Percent FP
Masja_Juel,1,0,0.0,1,100.0,2090,6688,31.2
Cass_Ballenger,1,1,100.0,0,0.0,2198,6688,32.9
Sara_Silverman,1,1,100.0,0,0.0,1650,6688,24.7
Melanie_Griffith,3,1,33.3,2,66.7,2391,6688,35.8
Jose_Cevallos,1,1,100.0,0,0.0,1585,6688,23.7
Thad_Matta,1,1,100.0,0,0.0,1639,6688,24.5
Esteban_Cordoba-Velazquez,1,0,0.0,1,100.0,1462,6688,21.9
Bilal_Erdogan,1,0,0.0,1,100.0,1359,6688,20.3
Francis_George,2,0,0.0,2,100.0,2245,6688,33.6
Jose_Maria_Aznar,23,8,34.8,15,65.2,2408,6688,36.0
Kosuke_Kitajima,2,1,50.0,1,50.0,1392,6688,20.8
Marina_Hands,1,1,100.0,0,0.0,1346,6688,20.1
Andre_Lange,1,1,100.0,0,0.0,1896,6688,28.3
Andrew_Luster,1,0,0.0,1,100.0,12,6688,0.2
Carlos_Queiroz,1,1,100.0,0,0.0,1811,6688,27.1
Eric_Benet,1,1,100.0,0,0.0,2287,6688,34.2
David_Alpay,1,1,100.0,0,0.0,1745,6688,26.1
George_P_Bush,2,0,0.0,2,100.0,558,6688,8.3
Leo_Mullin,1,0,0.0,1,100.0,1448,6688,21.7
Jennie_Finch,1,0,0.0,1,100.0,1120,6688,16.7
Dewayne_White,1,0,0.0,1,100.0,2406,6688,36.0
Hana_Sadiq,1,0,0.0,1,100.0,2658,6688,39.7
George_Gregan,1,0,0.0,1,100.0,1948,6688,29.1
Toni_Braxton,3,0,0.0,3,100.0,1996,6688,29.8
Juan_Carlos_Ortega,1,0,0.0,1,100.0,1913,6688,28.6
Larry_Eustachy,1,1,100.0,0,0.0,2016,6688,30.1
Hal_Sellers,1,0,0.0,1,100.0,739,6688,11.0
Omar_Sharif,4,1,25.0,3,75.0,2214,6688,33.1
Natalie_Cole,3,1,33.3,2,66.7,1980,6688,29.6
William_Hurt,1,0,0.0,1,100.0,1768,6688,26.4
Thomas_Ferguson,1,1,100.0,0,0.0,2221,6688,33.2
Sharon_Robinson,1,1,100.0,0,0.0,1910,6688,28.6
Ethan_Hawke,4,1,25.0,3,75.0,2161,6688,32.3
Casy_Preslar,1,1,100.0,0,0.0,1766,6688,26.4
Jack_Nicholson,3,2,66.7,1,33.3,2192,6688,32.8
Wally_Szczerbiak,1,1,100.0,0,0.0,2073,6688,31.0
Roy_Blunt,1,0,0.0,1,100.0,2360,6688,35.3
Dereck_Whittenburg,1,1,100.0,0,0.0,1987,6688,29.7
Alejandro_Lembo,1,1,100.0,0,0.0,2115,6688,31.6
Mikhail_Shvydkoi,1,1,100.0,0,0.0,1250,6688,18.7
William_Pryor_Jr,1,0,0.0,1,100.0,1786,6688,26.7
Vadim_Strogalev,1,0,0.0,1,100.0,956,6688,14.3
Laurent_Woulzy,1,0,0.0,1,100.0,285,6688,4.3
Sid_Caesar,1,0,0.0,1,100.0,1801,6688,26.9
Alberto_Ruiz_Gallardon,2,0,0.0,2,100.0,9,6688,0.1
Michael_Friedman,1,1,100.0,0,0.0,1737,6688,26.0
Jonathan_Edwards,8,3,37.5,5,62.5,2122,6688,31.7
Tim_Curry,2,1,50.0,1,50.0,2070,6688,31.0
Julie_Taymor,2,1,50.0,1,50.0,2540,6688,38.0
Vince_Dooley,1,0,0.0,1,100.0,2097,6688,31.4
Natasha_McElhone,3,1,33.3,2,66.7,1836,6688,27.5
Alan_Jackson,1,0,0.0,1,100.0,215,6688,3.2
Wen_Jiabao,13,0,0.0,13,100.0,1133,6688,16.9
Brad_Gushue,1,0,0.0,1,100.0,39,6688,0.6
Osama_bin_Laden,4,2,50.0,2,50.0,2292,6688,34.3
Tim_Norbeck,1,0,0.0,1,100.0,653,6688,9.8
Bill_Butler,1,0,0.0,1,100.0,2539,6688,38.0
Werner_Schlager,1,0,0.0,1,100.0,2562,6688,38.3
Miyako_Miyazaki,2,0,0.0,2,100.0,1731,6688,25.9
Bud_Selig,4,2,50.0,2,50.0,1546,6688,23.1
Dennis_Powell,2,2,100.0,0,0.0,2104,6688,31.5
Newton_Carlton_Slawson,1,1,100.0,0,0.0,1287,6688,19.2
Pedro_Almodovar,7,3,42.9,4,57.1,1870,6688,28.0
Andrea_De_Cruz,1,0,0.0,1,100.0,2489,6688,37.2
Geraldine_Chaplin,4,1,25.0,3,75.0,1969,6688,29.4
Sasha_Alexander,1,0,0.0,1,100.0,2073,6688,31.0
Micky_Arison,1,0,0.0,1,100.0,904,6688,13.5
Jade_Jagger,1,0,0.0,1,100.0,1899,6688,28.4
Bing_Crosby,1,0,0.0,1,100.0,64,6688,1.0
Mary-Kate_Olsen,3,0,0.0,3,100.0,1652,6688,24.7
Carolina_Kluft,3,1,33.3,2,66.7,2080,6688,31.1
Dean_Sheremet,1,1,100.0,0,0.0,1873,6688,28.0
Mike_Webster,1,0,0.0,1,100.0,1710,6688,25.6
Kifah_Ajouri,2,0,0.0,2,100.0,2202,6688,32.9
Casey_Crowder,1,0,0.0,1,100.0,1964,6688,29.4
Vince_Carter,4,2,50.0,2,50.0,2362,6688,35.3
Mike_Maroth,1,1,100.0,0,0.0,1728,6688,25.8
Michalis_Chrisohoides,1,0,0.0,1,100.0,1985,6688,29.7
Brian_StPierre,1,0,0.0,1,100.0,2314,6688,34.6
Harry_Kalas,2,1,50.0,1,50.0,329,6688,4.9
Bill_Byrne,1,1,100.0,0,0.0,1978,6688,29.6
Kurt_Busch,2,0,0.0,2,100.0,496,6688,7.4
Paul-Henri_Mathieu,3,2,66.7,1,33.3,1899,6688,28.4
Enrique_Oliu,1,0,0.0,1,100.0,2247,6688,33.6
Mike_Sherman,1,1,100.0,0,0.0,1146,6688,17.1
Djabir_Said-Guerni,1,1,100.0,0,0.0,1540,6688,23.0
Buddy_Ryan,1,0,0.0,1,100.0,2246,6688,33.6
Emile_Lahoud,2,1,50.0,1,50.0,1131,6688,16.9
Andrew_Wetzler,1,0,0.0,1,100.0,1124,6688,16.8
Marina_Canetti,1,1,100.0,0,0.0,1334,6688,19.9
Vicente_Fox,31,9,29.0,22,71.0,1860,6688,27.8
Moon-So-ri,1,1,100.0,0,0.0,1972,6688,29.5
Patricia_Phillips,1,1,100.0,0,0.0,1599,6688,23.9
Alicia_Silverstone,2,0,0.0,2,100.0,1192,6688,17.8
Michael_Peat,1,0,0.0,1,100.0,968,6688,14.5
Michael_Killeen,1,0,0.0,1,100.0,1420,6688,21.2
Wesley_Clark,2,0,0.0,2,100.0,1948,6688,29.1
Halle_Berry,16,3,18.8,13,81.2,2007,6688,30.0
William_Joppy,1,0,0.0,1,100.0,1094,6688,16.4
Kostya_Tszyu,1,1,100.0,0,0.0,1420,6688,21.2
Ana_Claudia_Talancon,1,1,100.0,0,0.0,2496,6688,37.3
Gene_Orza,1,1,100.0,0,0.0,1809,6688,27.0
Nastia_Liukin,1,0,0.0,1,100.0,1807,6688,27.0
Mohammad_Khatami,9,3,33.3,6,66.7,695,6688,10.4
Andrew_Weissmann,3,0,0.0,3,100.0,44,6688,0.7
Alek_Wek,1,0,0.0,1,100.0,438,6688,6.5
Isidro_Pastor,1,0,0.0,1,100.0,37,6688,0.6
Mikhail_Khodorkovsky,1,1,100.0,0,0.0,1789,6688,26.7
Charlotte_Church,1,0,0.0,1,100.0,2088,6688,31.2
William_Macy,5,1,20.0,4,80.0,1235,6688,18.5
Brian_Schneider,1,1,100.0,0,0.0,1540,6688,23.0
Phil_McGraw,1,1,100.0,0,0.0,1405,6688,21.0
Enos_Slaughter,1,0,0.0,1,100.0,3,6688,0.0
Ernie_Eves,2,1,50.0,1,50.0,1788,6688,26.7
Andres_DAlessandro,1,0,0.0,1,100.0,2188,6688,32.7
Mike_Szymanczyk,1,0,0.0,1,100.0,1101,6688,16.5
Lim_Dong-won,2,0,0.0,2,100.0,1673,6688,25.0
Michael_Powell,5,1,20.0,4,80.0,1906,6688,28.5
Pauley_Perrette,1,1,100.0,0,0.0,1990,6688,29.8
Julie_Andrews,1,0,0.0,1,100.0,1352,6688,20.2
Ismail_Khan,1,1,100.0,0,0.0,2264,6688,33.9
Tom_McClintock,1,1,100.0,0,0.0,1115,6688,16.7
Jim_Zorn,1,1,100.0,0,0.0,1687,6688,25.2
Eric_Idle,1,0,0.0,1,100.0,1160,6688,17.3
Marissa_Jaret_Winokur,2,1,50.0,1,50.0,1941,6688,29.0
Julie_Infante,1,1,100.0,0,0.0,2000,6688,29.9
Matt_Roney,1,0,0.0,1,100.0,388,6688,5.8
Floyd_Mayweather,1,0,0.0,1,100.0,1603,6688,24.0
Kim_Gandy,1,0,0.0,1,100.0,530,6688,7.9
Dariusz_Michalczewski,1,0,0.0,1,100.0,2125,6688,31.8
Nathalie_Dechy,1,1,100.0,0,0.0,2026,6688,30.3
Aleksander_Voloshin,1,0,0.0,1,100.0,281,6688,4.2
Micah_Knorr,1,1,100.0,0,0.0,2086,6688,31.2
Vladimiro_Montesinos,3,0,0.0,3,100.0,1199,6688,17.9
Patti_Lank,1,1,100.0,0,0.0,2064,6688,30.9
Al_Sharpton,7,1,14.3,6,85.7,941,6688,14.1
Meghann_Shaughnessy,2,0,0.0,2,100.0,4,6688,0.1
Deb_Santos,1,0,0.0,1,100.0,2200,6688,32.9
Ken_Wharfe,1,0,0.0,1,100.0,1943,6688,29.1
Nadine_Vinzens,2,0,0.0,2,100.0,1478,6688,22.1
Tina_Pisnik,1,0,0.0,1,100.0,1237,6688,18.5
Kimberly_Stewart,1,0,0.0,1,100.0,1568,6688,23.4
Peter_Gilmour,1,0,0.0,1,100.0,1730,6688,25.9
Dionne_Warwick,1,0,0.0,1,100.0,2154,6688,32.2
Gerardo_Gambala,2,0,0.0,2,100.0,2083,6688,31.1
Fernando_Velardez,1,0,0.0,1,100.0,2167,6688,32.4
Carin_Koch,1,0,0.0,1,100.0,6,6688,0.1
Jose_Vicente_Rangel,1,0,0.0,1,100.0,2343,6688,35.0
Jose_Mourinho,2,2,100.0,0,0.0,1888,6688,28.2
Michel_Kratochvil,1,1,100.0,0,0.0,2155,6688,32.2
Kweisi_Mfume,1,1,100.0,0,0.0,1414,6688,21.1
Mike_Babcock,2,1,50.0,1,50.0,958,6688,14.3
Jorge_Rodolfo_Canicoba_Corral,2,0,0.0,2,100.0,24,6688,0.4
Nizar_Trabelsi,1,0,0.0,1,100.0,497,6688,7.4
Mary_Steenburgen,3,1,33.3,2,66.7,2254,6688,33.7
Wang_Nan,1,0,0.0,1,100.0,896,6688,13.4
Sonia_Lopez,1,0,0.0,1,100.0,584,6688,8.7
Haydar_Aliyev,1,1,100.0,0,0.0,1580,6688,23.6
Mark_Gangloff,1,0,0.0,1,100.0,13,6688,0.2
Gene_Sauers,1,0,0.0,1,100.0,363,6688,5.4
Kirsten_Gilham,1,0,0.0,1,100.0,1551,6688,23.2
Jimmy_Gobble,1,1,100.0,0,0.0,1832,6688,27.4
Muwafak_al-Ani,1,1,100.0,0,0.0,2277,6688,34.0
Emma_Watson,5,1,20.0,4,80.0,1865,6688,27.9
Eric_Daze,1,1,100.0,0,0.0,1234,6688,18.5
Calista_Flockhart,6,2,33.3,4,66.7,1313,6688,19.6
Scott_Wallach,1,0,0.0,1,100.0,186,6688,2.8
Ernest_Hollings,1,0,0.0,1,100.0,2096,6688,31.3
Larry_Greene,1,0,0.0,1,100.0,1697,6688,25.4
Carina_Lau_Ka-ling,1,0,0.0,1,100.0,2303,6688,34.4
Brandon_Jones,1,0,0.0,1,100.0,153,6688,2.3
Bill_Maher,1,0,0.0,1,100.0,717,6688,10.7
Judi_Dench,2,1,50.0,1,50.0,2025,6688,30.3
Irene_Kahn,1,0,0.0,1,100.0,1882,6688,28.1
Larry_Flynt,1,0,0.0,1,100.0,617,6688,9.2
Hans_Blix,39,16,41.0,23,59.0,2022,6688,30.2
Harrison_Ford,12,1,8.3,11,91.7,1321,6688,19.8
Sonya_Walger,1,0,0.0,1,100.0,1480,6688,22.1
Charlie_Hunnam,1,1,100.0,0,0.0,1476,6688,22.1
Michael_Shane_Jolly,1,0,0.0,1,100.0,1279,6688,19.1
Boris_Berezovsky,2,2,100.0,0,0.0,1884,6688,28.2
Turner_Gill,1,0,0.0,1,100.0,1265,6688,18.9
Serena_Williams,52,3,5.8,49,94.2,248,6688,3.7
Klaus_Schwab,1,0,0.0,1,100.0,808,6688,12.1
Irv_Nathan,1,0,0.0,1,100.0,2004,6688,30.0
Kurt_Tanabe,1,0,0.0,1,100.0,169,6688,2.5
Thomas_Bjorn,2,1,50.0,1,50.0,1588,6688,23.7
Brenda_Magana,1,0,0.0,1,100.0,2461,6688,36.8
