Name,Images of Name,True Positives,Percent TP,False Negatives,Percent FN,False positives,Total faces,Percent FP
Masja_Juel,1,1,100.0,0,0.0,3,6688,0.0
Cass_Ballenger,1,1,100.0,0,0.0,14,6688,0.2
Sara_Silverman,1,1,100.0,0,0.0,1,6688,0.0
Melanie_Griffith,3,1,33.3,2,66.7,0,6688,0.0
Jose_Cevallos,1,1,100.0,0,0.0,6,6688,0.1
Thad_Matta,1,1,100.0,0,0.0,0,6688,0.0
Esteban_Cordoba-Velazquez,1,1,100.0,0,0.0,0,6688,0.0
Bilal_Erdogan,1,1,100.0,0,0.0,3,6688,0.0
Francis_George,2,2,100.0,0,0.0,23,6688,0.3
Jose_Maria_Aznar,23,18,78.3,5,21.7,0,6688,0.0
Kosuke_Kitajima,2,1,50.0,1,50.0,10,6688,0.1
Marina_Hands,1,1,100.0,0,0.0,0,6688,0.0
Andre_Lange,1,1,100.0,0,0.0,1,6688,0.0
Andrew_Luster,1,1,100.0,0,0.0,2,6688,0.0
Carlos_Queiroz,1,1,100.0,0,0.0,9,6688,0.1
Eric_Benet,1,1,100.0,0,0.0,1,6688,0.0
David_Alpay,1,1,100.0,0,0.0,0,6688,0.0
George_P_Bush,2,2,100.0,0,0.0,0,6688,0.0
Leo_Mullin,1,1,100.0,0,0.0,3,6688,0.0
Jennie_Finch,1,1,100.0,0,0.0,2,6688,0.0
Dewayne_White,1,1,100.0,0,0.0,0,6688,0.0
Hana_Sadiq,1,1,100.0,0,0.0,0,6688,0.0
George_Gregan,1,1,100.0,0,0.0,2,6688,0.0
Toni_Braxton,3,3,100.0,0,0.0,1,6688,0.0
Juan_Carlos_Ortega,1,1,100.0,0,0.0,1,6688,0.0
Larry_Eustachy,1,1,100.0,0,0.0,5,6688,0.1
Hal_Sellers,1,1,100.0,0,0.0,2,6688,0.0
Omar_Sharif,4,3,75.0,1,25.0,0,6688,0.0
Natalie_Cole,3,2,66.7,1,33.3,1,6688,0.0
William_Hurt,1,1,100.0,0,0.0,2,6688,0.0
Thomas_Ferguson,1,1,100.0,0,0.0,1,6688,0.0
Sharon_Robinson,1,1,100.0,0,0.0,7,6688,0.1
Ethan_Hawke,4,4,100.0,0,0.0,0,6688,0.0
Casy_Preslar,1,1,100.0,0,0.0,1,6688,0.0
Jack_Nicholson,3,1,33.3,2,66.7,11,6688,0.2
Wally_Szczerbiak,1,1,100.0,0,0.0,0,6688,0.0
Roy_Blunt,1,1,100.0,0,0.0,16,6688,0.2
Dereck_Whittenburg,1,1,100.0,0,0.0,31,6688,0.5
Alejandro_Lembo,1,1,100.0,0,0.0,7,6688,0.1
Mikhail_Shvydkoi,1,1,100.0,0,0.0,11,6688,0.2
William_Pryor_Jr,1,1,100.0,0,0.0,0,6688,0.0
Vadim_Strogalev,1,1,100.0,0,0.0,0,6688,0.0
Laurent_Woulzy,1,1,100.0,0,0.0,2,6688,0.0
Sid_Caesar,1,1,100.0,0,0.0,2,6688,0.0
Alberto_Ruiz_Gallardon,2,1,50.0,1,50.0,1,6688,0.0
Michael_Friedman,1,1,100.0,0,0.0,1,6688,0.0
Jonathan_Edwards,8,3,37.5,5,62.5,2,6688,0.0
Tim_Curry,2,2,100.0,0,0.0,3,6688,0.0
Julie_Taymor,2,2,100.0,0,0.0,4,6688,0.1
Vince_Dooley,1,1,100.0,0,0.0,36,6688,0.5
Natasha_McElhone,3,3,100.0,0,0.0,1,6688,0.0
Alan_Jackson,1,1,100.0,0,0.0,17,6688,0.3
Wen_Jiabao,13,12,92.3,1,7.7,30,6688,0.4
Brad_Gushue,1,1,100.0,0,0.0,2,6688,0.0
Osama_bin_Laden,4,4,100.0,0,0.0,1,6688,0.0
Tim_Norbeck,1,1,100.0,0,0.0,28,6688,0.4
Bill_Butler,1,1,100.0,0,0.0,2,6688,0.0
Werner_Schlager,1,1,100.0,0,0.0,0,6688,0.0
Miyako_Miyazaki,2,2,100.0,0,0.0,2,6688,0.0
Bud_Selig,4,3,75.0,1,25.0,18,6688,0.3
Dennis_Powell,2,1,50.0,1,50.0,6,6688,0.1
Newton_Carlton_Slawson,1,1,100.0,0,0.0,0,6688,0.0
Pedro_Almodovar,7,6,85.7,1,14.3,16,6688,0.2
Andrea_De_Cruz,1,1,100.0,0,0.0,1,6688,0.0
Geraldine_Chaplin,4,4,100.0,0,0.0,1,6688,0.0
Sasha_Alexander,1,1,100.0,0,0.0,3,6688,0.0
Micky_Arison,1,1,100.0,0,0.0,3,6688,0.0
Jade_Jagger,1,1,100.0,0,0.0,0,6688,0.0
Bing_Crosby,1,1,100.0,0,0.0,1,6688,0.0
Mary-Kate_Olsen,3,2,66.7,1,33.3,0,6688,0.0
Carolina_Kluft,3,2,66.7,1,33.3,4,6688,0.1
Dean_Sheremet,1,1,100.0,0,0.0,0,6688,0.0
Mike_Webster,1,1,100.0,0,0.0,3,6688,0.0
Kifah_Ajouri,2,2,100.0,0,0.0,4,6688,0.1
Casey_Crowder,1,1,100.0,0,0.0,4,6688,0.1
Vince_Carter,4,4,100.0,0,0.0,9,6688,0.1
Mike_Maroth,1,1,100.0,0,0.0,3,6688,0.0
Michalis_Chrisohoides,1,1,100.0,0,0.0,4,6688,0.1
Brian_StPierre,1,1,100.0,0,0.0,4,6688,0.1
Harry_Kalas,2,1,50.0,1,50.0,7,6688,0.1
Bill_Byrne,1,1,100.0,0,0.0,11,6688,0.2
Kurt_Busch,2,1,50.0,1,50.0,13,6688,0.2
Paul-Henri_Mathieu,3,3,100.0,0,0.0,6,6688,0.1
Enrique_Oliu,1,1,100.0,0,0.0,3,6688,0.0
Mike_Sherman,1,1,100.0,0,0.0,32,6688,0.5
Djabir_Said-Guerni,1,1,100.0,0,0.0,0,6688,0.0
Buddy_Ryan,1,1,100.0,0,0.0,59,6688,0.9
Emile_Lahoud,2,2,100.0,0,0.0,8,6688,0.1
Andrew_Wetzler,1,1,100.0,0,0.0,11,6688,0.2
Marina_Canetti,1,1,100.0,0,0.0,3,6688,0.0
Vicente_Fox,31,30,96.8,1,3.2,15,6688,0.2
Moon-So-ri,1,1,100.0,0,0.0,7,6688,0.1
Patricia_Phillips,1,1,100.0,0,0.0,1,6688,0.0
Alicia_Silverstone,2,2,100.0,0,0.0,1,6688,0.0
Michael_Peat,1,1,100.0,0,0.0,0,6688,0.0
Michael_Killeen,1,1,100.0,0,0.0,5,6688,0.1
Wesley_Clark,2,1,50.0,1,50.0,1,6688,0.0
Halle_Berry,16,1,6.2,15,93.8,0,6688,0.0
William_Joppy,1,1,100.0,0,0.0,0,6688,0.0
Kostya_Tszyu,1,1,100.0,0,0.0,1,6688,0.0
Ana_Claudia_Talancon,1,1,100.0,0,0.0,6,6688,0.1
Gene_Orza,1,1,100.0,0,0.0,3,6688,0.0
Nastia_Liukin,1,1,100.0,0,0.0,0,6688,0.0
Mohammad_Khatami,9,7,77.8,2,22.2,0,6688,0.0
Andrew_Weissmann,3,3,100.0,0,0.0,4,6688,0.1
Alek_Wek,1,1,100.0,0,0.0,8,6688,0.1
Isidro_Pastor,1,1,100.0,0,0.0,3,6688,0.0
Mikhail_Khodorkovsky,1,1,100.0,0,0.0,0,6688,0.0
